student_id,split,n_rows,low_count,medium_count,high_count
11,test,6,1,3,2
18,test,41,2,11,28
2,test,7,2,3,2
25,test,4,0,1,3
4,test,13,12,1,0
5,test,96,49,23,24
6,test,31,10,12,9
8,test,89,10,31,48
1,train,29,8,17,4
10,train,40,11,4,25
13,train,58,0,17,41
15,train,18,5,11,2
16,train,30,11,4,15
17,train,12,3,8,1
19,train,45,19,9,17
20,train,41,21,18,2
21,train,15,0,7,8
22,train,43,25,15,3
23,train,20,0,0,20
24,train,88,24,24,40
26,train,68,7,48,13
27,train,90,3,49,38
28,train,62,28,22,12
29,train,38,11,8,19
30,train,63,23,18,22
31,train,7,0,0,7
32,train,74,0,7,67
33,train,73,21,45,7
34,train,46,5,15,26
35,train,26,20,3,3
7,train,79,27,44,8
9,train,32,1,13,18
