student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
1,daily_questions.csv,1,121,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",121,0,242,0.0,2025-02-19,2025-06-22
1,sleep.csv,1,31,"timestamp, overall_score, deep_sleep_in_minutes",31,0,62,0.0,2025-02-23,2025-05-09
1,activity_level.csv,1,53975,"timestamp, level",106,0,53975,0.0,2025-02-21,2025-06-06
1,steps.csv,1,13067,"timestamp, steps",106,0,13067,0.0,2025-02-21,2025-06-06
1,hrv.csv,1,2930,"timestamp, rmssd, coverage, low_frequency, high_frequency",45,0,11720,0.0,2025-02-23,2025-05-09
1,oxygen.csv,1,17788,"timestamp, value",70,0,17788,0.0,2025-02-21,2025-05-11
1,stress.csv,1,28,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",28,0,56,0.0,2025-02-22,2025-05-09
2,daily_questions.csv,1,102,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",102,0,204,0.0,2025-02-18,2025-06-13
2,sleep.csv,1,10,"timestamp, overall_score, deep_sleep_in_minutes",10,0,20,0.0,2025-02-25,2025-05-07
2,activity_level.csv,1,36316,"timestamp, level",69,0,36316,0.0,2025-02-24,2025-05-28
2,steps.csv,1,12464,"timestamp, steps",61,0,12464,0.0,2025-02-24,2025-05-09
2,hrv.csv,1,698,"timestamp, rmssd, coverage, low_frequency, high_frequency",13,0,2792,0.0,2025-02-24,2025-05-07
2,oxygen.csv,1,12317,"timestamp, value",74,0,12317,0.0,2025-02-25,2025-06-11
2,stress.csv,1,10,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",9,0,20,0.0,2025-02-25,2025-05-08
3,daily_questions.csv,1,14,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",14,0,28,0.0,2025-02-26,2025-04-29
3,sleep.csv,0,0,,0,0,0,0.0,,
3,activity_level.csv,0,0,,0,0,0,0.0,,
3,steps.csv,0,0,,0,0,0,0.0,,
3,hrv.csv,0,0,,0,0,0,0.0,,
3,oxygen.csv,0,0,,0,0,0,0.0,,
3,stress.csv,0,0,,0,0,0,0.0,,
4,daily_questions.csv,1,118,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",118,0,236,0.0,2025-02-14,2025-06-13
4,sleep.csv,1,13,"timestamp, overall_score, deep_sleep_in_minutes",13,0,26,0.0,2025-02-25,2025-05-05
4,activity_level.csv,1,23715,"timestamp, level",45,0,23715,0.0,2025-02-24,2025-05-05
4,steps.csv,1,4812,"timestamp, steps",45,0,4812,0.0,2025-02-24,2025-05-05
4,hrv.csv,1,1217,"timestamp, rmssd, coverage, low_frequency, high_frequency",16,0,4868,0.0,2025-02-24,2025-05-05
4,oxygen.csv,1,10296,"timestamp, value",27,0,10296,0.0,2025-02-24,2025-05-05
4,stress.csv,1,9,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",9,0,18,0.0,2025-02-24,2025-05-05
5,daily_questions.csv,1,135,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",133,0,270,0.0,2025-02-14,2025-06-29
5,sleep.csv,1,100,"timestamp, overall_score, deep_sleep_in_minutes",100,0,200,0.0,2025-02-21,2025-06-09
5,activity_level.csv,1,75180,"timestamp, level",106,0,75180,0.0,2025-02-21,2025-06-10
5,steps.csv,1,26461,"timestamp, steps",106,0,26461,0.0,2025-02-21,2025-06-10
5,hrv.csv,1,6754,"timestamp, rmssd, coverage, low_frequency, high_frequency",100,0,27016,0.0,2025-02-21,2025-06-08
5,oxygen.csv,1,43156,"timestamp, value",104,0,43156,0.0,2025-02-21,2025-06-09
5,stress.csv,1,89,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",89,0,178,0.0,2025-02-21,2025-06-09
