student_id,file,target_days,covered_target_days,target_coverage_percent
1,daily_questions.csv,121,121,100.0
1,sleep.csv,121,30,24.79
1,activity_level.csv,121,103,85.12
1,steps.csv,121,103,85.12
1,hrv.csv,121,43,35.54
1,oxygen.csv,121,68,56.2
1,stress.csv,121,27,22.31
2,daily_questions.csv,102,102,100.0
2,sleep.csv,102,9,8.82
2,activity_level.csv,102,62,60.78
2,steps.csv,102,54,52.94
2,hrv.csv,102,12,11.76
2,oxygen.csv,102,66,64.71
2,stress.csv,102,7,6.86
3,daily_questions.csv,14,14,100.0
3,sleep.csv,14,0,0.0
3,activity_level.csv,14,0,0.0
3,steps.csv,14,0,0.0
3,hrv.csv,14,0,0.0
3,oxygen.csv,14,0,0.0
3,stress.csv,14,0,0.0
4,daily_questions.csv,118,118,100.0
4,sleep.csv,118,13,11.02
4,activity_level.csv,118,44,37.29
4,steps.csv,118,44,37.29
4,hrv.csv,118,16,13.56
4,oxygen.csv,118,27,22.88
4,stress.csv,118,9,7.63
5,daily_questions.csv,133,133,100.0
5,sleep.csv,133,97,72.93
5,activity_level.csv,133,103,77.44
5,steps.csv,133,103,77.44
5,hrv.csv,133,97,72.93
5,oxygen.csv,133,101,75.94
5,stress.csv,133,86,64.66
6,daily_questions.csv,104,104,100.0
6,sleep.csv,104,37,35.58
6,activity_level.csv,104,61,58.65
6,steps.csv,104,60,57.69
6,hrv.csv,104,53,50.96
6,oxygen.csv,104,58,55.77
6,stress.csv,104,42,40.38
7,daily_questions.csv,102,102,100.0
7,sleep.csv,102,83,81.37
7,activity_level.csv,102,96,94.12
7,steps.csv,102,94,92.16
7,hrv.csv,102,90,88.24
7,oxygen.csv,102,92,90.2
7,stress.csv,102,72,70.59
8,daily_questions.csv,104,104,100.0
8,sleep.csv,104,90,86.54
8,activity_level.csv,104,99,95.19
8,steps.csv,104,99,95.19
8,hrv.csv,104,92,88.46
8,oxygen.csv,104,98,94.23
8,stress.csv,104,83,79.81
9,daily_questions.csv,60,60,100.0
