feature_group,n_features,model,accuracy,macro_precision,macro_recall,macro_f1,low_f1,medium_f1,high_f1,low_support,medium_support,high_support
sleep_only,2,random_forest,0.3588850174216028,0.35493103723192226,0.3609525606553768,0.3539702581369248,0.2875,0.40404040404040403,0.37037037037037035,86,85,116
sleep_only,2,svm,0.37282229965156793,0.41624280081408377,0.34975549161123953,0.34159701051986424,0.26785714285714285,0.2905027932960894,0.4664310954063604,86,85,116
sleep_only,2,logistic_regression,0.33797909407665505,0.3441286247487798,0.34375678098023493,0.33294487343471196,0.2894736842105263,0.37272727272727274,0.33663366336633666,86,85,116
sleep_only,2,mlp,0.41114982578397213,0.5,0.37134062927496575,0.3255843613255052,0.10752688172043011,0.33548387096774196,0.5337423312883436,86,85,116
sleep_only,2,majority_baseline,0.40418118466898956,0.13472706155632985,0.3333333333333333,0.19189412737799835,0.0,0.0,0.575682382133995,86,85,116
activity_only,5,random_forest,0.40069686411149824,0.42470223473146307,0.38604887022972784,0.3859918882034443,0.3464566929133858,0.34408602150537637,0.4674329501915709,86,85,116
activity_only,5,svm,0.34494773519163763,0.33707149009474585,0.3357886378288284,0.3357296303000485,0.2981366459627329,0.30409356725146197,0.4049586776859504,86,85,116
activity_only,5,mlp,0.33797909407665505,0.34025974025974026,0.3211110586977373,0.3119005922781382,0.21487603305785125,0.30601092896174864,0.4148148148148148,86,85,116
activity_only,5,logistic_regression,0.3170731707317073,0.30245552766561173,0.3027760743431294,0.29743220428154543,0.19858156028368795,0.3058823529411765,0.38783269961977185,86,85,116
activity_only,5,majority_baseline,0.40418118466898956,0.13472706155632985,0.3333333333333333,0.19189412737799835,0.0,0.0,0.575682382133995,86,85,116
hrv_spo2_only,5,logistic_regression,0.40069686411149824,0.4111130502616096,0.40614258534207587,0.4009218314365373,0.4385026737967914,0.34375,0.4205128205128205,86,85,116
hrv_spo2_only,5,svm,0.40069686411149824,0.39981940144478845,0.4045929839457836,0.388148358098948,0.46846846846846846,0.2978723404255319,0.3981042654028436,86,85,116
hrv_spo2_only,5,mlp,0.3693379790940767,0.36894896416432416,0.36624683554255705,0.36592239181776615,0.34394904458598724,0.36065573770491804,0.39316239316239315,86,85,116
hrv_spo2_only,5,random_forest,0.3519163763066202,0.35763344252732515,0.35597984181643794,0.3516052174810003,0.3473053892215569,0.3465346534653465,0.36097560975609755,86,85,116
hrv_spo2_only,5,majority_baseline,0.40418118466898956,0.13472706155632985,0.3333333333333333,0.19189412737799835,0.0,0.0,0.575682382133995,86,85,116
all_wearable,12,mlp,0.41114982578397213,0.4103071888672331,0.4087032407189018,0.4087047826268247,0.4260355029585799,0.3516483516483517,0.4484304932735426,86,85,116
all_wearable,12,svm,0.36585365853658536,0.3639855192311226,0.3600012579209711,0.360969446385454,0.367816091954023,0.27472527472527475,0.44036697247706424,86,85,116
all_wearable,12,logistic_regression,0.3623693379790941,0.35286081645773065,0.3520700661980911,0.35222570956093274,0.3373493975903614,0.2823529411764706,0.4369747899159664,86,85,116
all_wearable,12,random_forest,0.3240418118466899,0.34062678062678065,0.3219648725568816,0.3171633777078851,0.2748091603053435,0.3333333333333333,0.34334763948497854,86,85,116
all_wearable,12,majority_baseline,0.40418118466898956,0.13472706155632985,0.3333333333333333,0.19189412737799835,0.0,0.0,0.575682382133995,86,85,116
