,count,mean,std,min,25%,50%,75%,max
sleep_score,1501.0,75.812,8.121,40.0,71.0,77.0,82.0,93.0
deep_sleep_minutes,1501.0,77.387,25.269,5.0,60.0,77.0,94.0,177.0
total_steps,2232.0,8910.608,5585.786,14.0,4674.5,8003.5,12174.5,33406.0
sedentary_minutes,2257.0,393.708,170.874,0.0,299.0,411.0,510.0,844.0
lightly_active_minutes,2257.0,182.802,90.359,0.0,124.0,181.0,238.0,670.0
moderately_active_minutes,2257.0,45.185,36.62,0.0,18.0,38.0,64.0,261.0
very_active_minutes,2257.0,31.543,37.184,0.0,5.0,19.0,45.0,290.0
avg_rmssd,1637.0,74.97,35.247,15.208,46.538,68.518,94.92,196.888
avg_low_frequency,1637.0,2090.127,1291.708,174.593,1154.455,1681.746,2713.272,9970.311
avg_high_frequency,1637.0,1417.123,1097.092,45.077,577.167,1163.753,1940.393,10923.474
avg_oxygen,2009.0,79.874,11.285,50.0,79.408,84.005,86.547,96.5
std_oxygen,2007.0,15.398,4.895,0.0,14.638,16.482,18.12,26.004
