semester_week,n,mean_stress,sd_stress,week_start,week_end
1,42,34.285714285714285,26.367279902890097,2025-02-19,2025-02-25
2,82,29.109756097560975,20.810732094526312,2025-02-26,2025-03-04
3,59,27.305084745762713,20.299697838152188,2025-03-05,2025-03-11
4,80,33.8875,24.959711207149486,2025-03-12,2025-03-18
5,75,42.57333333333333,25.67687640625281,2025-03-19,2025-03-25
6,106,43.87735849056604,26.40732323759874,2025-03-26,2025-04-01
7,94,39.06382978723404,24.190022163524183,2025-04-02,2025-04-08
8,88,42.22727272727273,23.483781281579994,2025-04-09,2025-04-15
9,86,29.848837209302324,21.950488372892327,2025-04-16,2025-04-22
10,90,36.94444444444444,26.916584049223292,2025-04-23,2025-04-29
11,88,31.579545454545453,23.374375197702452,2025-04-30,2025-05-06
12,98,28.56122448979592,18.238435865365872,2025-05-07,2025-05-13
13,78,32.46153846153846,24.47670098499573,2025-05-14,2025-05-20
14,87,38.5632183908046,26.5446973417174,2025-05-21,2025-05-27
15,80,35.175,23.435219087324235,2025-05-28,2025-06-03
16,76,38.223684210526315,24.021434142149257,2025-06-04,2025-06-10
17,40,49.55,27.887089191770155,2025-06-11,2025-06-17
18,26,48.53846153846154,32.23567063888173,2025-06-18,2025-06-24
19,19,51.63157894736842,31.268035731070988,2025-06-25,2025-06-30
